accident_place,accident_place_feature,vehicle_a_progress_info,vehicle_b_progress_info,ratio_a,ratio_b,ratio_class
직선 도로,추돌 사고,선행자동차(1차사고차량)를 추돌,선행자동차(1차사고차량),80,20,0
직선 도로,추돌 사고,후행 추돌,선행 직진,100,0,1
직선 도로,추돌 사고,주(정)차,후행 추돌,0,100,2
직선 도로,차로 감소 도로 (합류),본선에서 직진,차로 감소 도로에서 본선으로 합류,40,60,3
직선 도로,열린 문 접촉사고,후행직진,선행자동차(정차중 문열림),20,80,4
직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진,0,100,5
직선 도로,이면도로 교행 사고,(마주보며) 직진,(마주보며) 직진,50,50,6
직선 도로,추월 사고,선행 직진,추월(실선 중앙선),0,100,7
직선 도로,추월 사고,선행 직진,급접거리 추월(점선 중앙선),0,100,8
직선 도로,추월 사고,중앙선 침범 추월(후방),중앙선 침범 추월(전방),60,40,9
직선 도로,추월 사고,실선 추월,선행 직진,100,0,10
직선 도로,차로변경(진로변경),후행 직진,선행 진로변경,30,70,11
직선 도로,차로변경(진로변경),동시 차로변경(진로변경),동시 차로변경(진로변경),50,50,12
직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌),100,0,13
직선 도로,안전지대 통과 사고,후행 직진(안전지대 벗어나기 전),선행 진로변경,100,0,14
직선 도로,안전지대 통과 사고,후행 직진(안전지대 벗어난 후),선행 진로변경,70,30,15
직선 도로,정차 후 출발 사고,정차 후 출발,추월,80,20,16
직선 도로,긴급자동차 사고,직진,중앙선 왼쪽 통행(긴급자동차),60,40,17
직선 도로,긴급자동차 사고,후행 직진,선행 진로변경(긴급자동차),90,10,18
직선 도로,긴급자동차 사고,선행 직진,추월(긴급자동차),60,40,19
직선 도로,긴급자동차 사고,선행 진로변경,후행 직진(긴급자동차),100,0,20
사거리교차로(신호등 없음),동일폭 도로,오른쪽에서 직진,왼쪽에서 직진,40,60,21
사거리교차로(신호등 없음),동일폭 도로,오른쪽에서 직진(후진입),왼쪽에서 직진(선진입),70,30,22
사거리교차로(신호등 없음),동일폭 도로,오른쪽에서 직진(선진입),왼쪽에서 직진(후진입),30,70,23
사거리교차로(신호등 없음),동일폭 도로,(마주보며) 직진,(마주보며) 좌회전,30,70,24
